p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	regulation
1.14424195274438e-60	2.32203458218352	0.212	0.059	1.85081135856404e-56	Mt2A	Up
1.31888422012075e-60	1.48600192332022	0.225	0.067	2.13329522604532e-56	Rgma	Up
1.32799976217093e-60	0.659261287709565	0.266	0.086	2.14803961531149e-56	Abcc9	NotSig
1.7834374506498e-60	1.69023248099706	0.237	0.075	2.88471007642605e-56	Tubb6	Up
4.56809663987267e-60	1.26905676757945	0.205	0.052	7.38889631499404e-56	Dab2	Up
7.36684443326083e-60	2.0136771849189	0.194	0.047	1.19158708707994e-55	Aspn	Up
1.59055804256351e-59	0.812159910028461	0.363	0.164	2.57272763384648e-55	Plpp1	NotSig
4.03891401433186e-59	1.30650514744868	0.299	0.124	6.53294341818179e-55	Plxdc2	Up
5.1642736649873e-59	1.94003587548504	0.189	0.046	8.35321265311695e-55	Angptl1	Up
1.23342256600466e-58	1.14970616985859	0.353	0.162	1.99506100051253e-54	Hrct1	Up
1.273707884723e-58	1.677816865973	0.202	0.052	2.06022250353945e-54	LOC100910978.1	Up
2.5126386734304e-58	2.90526099166246	0.122	0.008	4.06419305427366e-54	Nox4	Up
4.03488560806234e-58	0.444128625982625	0.952	0.86	6.52642747104083e-54	Rpl19	NotSig
4.7982027289732e-58	2.38772172705913	0.147	0.022	7.76109291411416e-54	Gpnmb	Up
5.57305165849981e-58	0.498290620492877	0.74	0.521	9.01441105762344e-54	Sptbn1	NotSig
6.08895142582346e-58	5.32061378719712	0.112	0.005	9.84887893126944e-54	Comp	Up
8.17046370321755e-58	1.37931418620192	0.228	0.071	1.32157250399544e-53	Col5a2	Up
1.20626789934066e-57	2.19946892519487	0.193	0.049	1.95113832718352e-53	Serpine1	Up
1.61008095414215e-57	1.62139958339258	0.215	0.062	2.60430594332493e-53	Eln	Up
3.08221811213964e-57	2.0390214915071	0.176	0.039	4.98548779638587e-53	Clmp	Up
3.66933360063751e-57	0.933548527224841	0.279	0.107	5.93514709903117e-53	Cpne8	NotSig
6.46176988865877e-57	1.98326954938051	0.202	0.057	1.04519127949056e-52	Plod2	Up
1.29625353717704e-56	1.01801181989432	0.457	0.265	2.09669009638386e-52	LOC100362366	Up
4.46168662582525e-56	1.12886593314824	0.236	0.077	7.21677811727235e-52	Olfml3	Up
4.59087501915476e-56	1.38718374785523	0.349	0.177	7.42574034348282e-52	Lrp1	Up
1.06900360831441e-55	1.97541521559917	0.194	0.052	1.72911333644856e-51	Medag	Up
1.69233591054078e-55	2.5920743519445	0.152	0.027	2.7373533352997e-51	Lox	Up
1.92006209111114e-55	0.952787333927012	0.293	0.121	3.10570043237226e-51	Prss23	NotSig
1.9931268143679e-55	0.497684330814827	0.867	0.695	3.22388262224008e-51	Rpl34	NotSig
2.45547266932308e-55	1.50036751432541	0.182	0.043	3.97172704263009e-51	Enpp3	Up
3.87928928267782e-55	-3.91210640330423	0.01	0.087	6.27475041473137e-51	Edn3	Down
4.13705824792321e-55	-0.602897280578399	0.824	0.821	6.69169171601579e-51	H3f3c	NotSig
6.10103269505252e-55	0.791000530566951	0.262	0.092	9.86842038424745e-51	Pdgfrb	NotSig
1.59283811691946e-54	1.48505836811713	0.184	0.045	2.57641565411722e-50	Twist1	Up
4.01565788136995e-54	1.74112693947758	0.175	0.042	6.4953266231159e-50	Socs3	Up
5.29610275690716e-54	0.987631736677254	0.437	0.253	8.56644620929733e-50	Timp2	NotSig
7.69162160003621e-54	0.560788067383037	0.375	0.173	1.24411979380586e-49	Akap12	NotSig
1.05961026904268e-53	1.13569839848952	0.251	0.092	1.71391961017653e-49	Axl	Up
1.22598009498183e-53	0.562692494461876	0.703	0.472	1.98302280363312e-49	LOC498555	NotSig
1.72793695878715e-53	1.30442489480543	0.2	0.058	2.79493803083822e-49	Lpar1	Up
1.95884349166613e-53	0.794514599512331	0.45	0.257	3.16842934776997e-49	Plec	NotSig
2.20230024608738e-53	1.46460236104841	0.22	0.071	3.56222064804633e-49	Boc	Up
3.59949235152358e-53	-4.94017289473018	0.004	0.069	5.8221788785894e-49	Chrdl2	Down
4.12852361839687e-53	2.47268201124693	0.125	0.014	6.67788695275693e-49	LOC691995	Up
4.51363687497026e-53	0.807891742233009	0.22	0.068	7.30080764526439e-49	Plac9	NotSig
5.13634802758425e-53	4.7644934182979	0.107	0.006	8.30804293461753e-49	Has1	Up
6.01672036651121e-53	1.10672761297767	0.231	0.079	9.73204519283189e-49	Abi3bp	Up
8.3823273699949e-53	1.71868667782728	0.173	0.041	1.35584145209668e-48	Osmr	Up
1.03912559279298e-52	3.48783201812305	0.128	0.017	1.68078564634265e-48	Vcan	Up
1.64976793532635e-52	1.8259189478729	0.158	0.033	2.66849963539038e-48	Thbs2	Up
1.76462067169661e-52	1.62383560597161	0.187	0.051	2.85427393646927e-48	Islr	Up
2.06383119404529e-52	0.402489033848539	0.93	0.788	3.33824695636826e-48	Rps23	NotSig
2.32865151853709e-52	-0.275487697951139	0.998	0.975	3.76659383123375e-48	Mt-cyb	NotSig
2.49613964482586e-52	-2.58746442268996	0.019	0.105	4.03750587550583e-48	Myf5	Down
2.74414775963753e-52	0.446736332246428	0.884	0.71	4.4386590012137e-48	LOC100361854	NotSig
3.06146921999871e-52	2.68921771761197	0.133	0.019	4.95192646334792e-48	Rspo1	Up
3.80931061578497e-52	1.50806842245437	0.168	0.038	6.16155992103218e-48	Adamts2	Up
6.02415233744764e-52	1.97422008300799	0.144	0.025	9.74406640582156e-48	Scara5	Up
6.1417641374309e-52	0.420156731604102	0.839	0.676	9.93430349229448e-48	Ahnak	NotSig
6.20304747498324e-52	1.21852483527685	0.25	0.094	1.00334292907854e-47	Csf1	Up
6.59986426739341e-52	2.15268733336498	0.199	0.062	1.06752804525088e-47	Fibin	Up
6.79991056783493e-52	2.4050032380593	0.15	0.03	1.0998855343473e-47	Fzd2	Up
7.18045085361913e-52	2.16520013202694	0.167	0.039	1.16143792557289e-47	Adamts4	Up
1.12733127852029e-51	0.449485177111476	0.428	0.215	1.82345834300656e-47	Tm4sf1	NotSig
2.16585107265661e-51	0.381520876803894	0.936	0.821	3.50326411002207e-47	Rps15	NotSig
2.61612472216968e-51	2.22067610075102	0.142	0.025	4.23158173810946e-47	Tmeff2	Up
2.67530515809088e-51	0.852401697504247	0.289	0.122	4.327306093212e-47	P4ha1	NotSig
7.07494852735909e-51	1.49243185000684	0.196	0.059	1.14437292430033e-46	Mmp14	Up
1.39088185576238e-50	0.915426329400144	0.315	0.142	2.24975140169565e-46	Mafb	NotSig
1.41223838729457e-50	-1.28615898252977	0.461	0.554	2.28429559144897e-46	Aqp1	Down
1.61422856096017e-50	0.439802543424217	0.862	0.722	2.61101469735308e-46	Ifitm3	NotSig
1.95542619280911e-50	0.362875211268821	0.571	0.341	3.16290186686873e-46	Selenom	NotSig
2.24424972738915e-50	2.74072115629663	0.124	0.016	3.63007393405196e-46	Spon1	Up
2.54151637640722e-50	1.6574680280192	0.186	0.053	4.11090273883867e-46	Fndc1	Up
2.58284493306654e-50	0.48933815913427	0.721	0.515	4.17775167923512e-46	S100a11	NotSig
2.73303077647474e-50	0.467190168068206	0.887	0.723	4.42067728094789e-46	Rps3a	NotSig
3.40272537219603e-50	0.518736472372843	0.729	0.504	5.50390828952708e-46	LOC685963	NotSig
3.96234898216351e-50	0.588661494323287	0.63	0.417	6.40909947864948e-46	Rps8	NotSig
4.40821627207451e-50	1.04565449180892	0.283	0.124	7.13028982008052e-46	Mmp2	Up
4.71393385619581e-50	1.01229515490683	0.341	0.17	7.62478801239672e-46	Fstl1	Up
5.72494293806227e-50	1.07055687753761	0.29	0.129	9.26009520231572e-46	Nbl1	Up
6.23414892007294e-50	-1.03125512734128	0.448	0.561	1.0083735878218e-45	Srgn	Down
6.62308782971278e-50	0.514628352296216	0.377	0.181	1.07128445645604e-45	Gpx3	NotSig
1.55688003191542e-49	2.11435851302759	0.11	0.01	2.51825345162319e-45	Mup5	Up
4.51902257472462e-49	0.45094214010239	0.89	0.715	7.30951901461707e-45	Rpl28	NotSig
4.95931405328894e-49	-2.65776024316063	0.019	0.101	8.02169048119485e-45	Tubb2b	Down
8.48739826000174e-49	1.55367566420299	0.168	0.042	1.37283666855528e-44	Slit3	Up
8.86879891977567e-49	0.595539533835571	0.588	0.403	1.43452822527372e-44	Rrbp1	NotSig
1.60115037830558e-48	1.97138976159535	0.141	0.027	2.58986073690928e-44	Lrrn4cl	Up
1.60988165859691e-48	1.05035155547992	0.21	0.068	2.6039835827805e-44	Tgfbi	Up
3.29152225360569e-48	0.446332553759307	0.934	0.832	5.32403724520721e-44	Rpl23	NotSig
8.2966823707593e-48	1.39647951131533	0.196	0.063	1.34198837347032e-43	Ppic	Up
8.57700770498389e-48	0.903058086019022	0.246	0.097	1.38733099628114e-43	Gpx8	NotSig
1.05140080271146e-47	0.953181328717763	0.291	0.137	1.70064079838578e-43	Serpinf1	NotSig
1.50290898425843e-47	2.59101396675154	0.127	0.021	2.43095528203801e-43	Steap3	Up
2.34638981066518e-47	0.76695540058655	0.378	0.197	3.79528551875094e-43	Rarres2	NotSig
4.1162193444749e-47	0.888206880276924	0.373	0.203	6.65798478968816e-43	Eef1a1	NotSig
4.44187951248397e-47	1.493987218339	0.276	0.128	7.18474011144282e-43	Htra3	Up
4.79520944993143e-47	1.74930268594398	0.138	0.027	7.75625128526409e-43	Hspb8	Up
5.42081241511028e-47	1.38762508217991	0.199	0.066	8.76816408144087e-43	Tgfb3	Up
5.48836707611337e-47	0.895959156935914	0.352	0.178	8.87743374561338e-43	Fxyd1	NotSig
8.85972835196729e-47	0.467511473533069	0.482	0.274	1.43306106093071e-42	Sult1a1	NotSig
1.30064105931007e-46	0.836934749282368	0.299	0.138	2.10378691343404e-42	Pkd2	NotSig
2.24962012276455e-46	-3.23294348104274	0.012	0.081	3.63876054857167e-42	Megf10	Down
3.20807252132488e-46	2.03540538531032	0.206	0.073	5.189057303243e-42	Tnfaip6	Up
3.27482278394278e-46	1.21089193140915	0.182	0.055	5.29702585302744e-42	Rbp1	Up
4.40293189188485e-46	-2.87129397118426	0.012	0.082	7.12174233512374e-42	Ttyh1	Down
4.51650842256521e-46	1.52161800513757	0.187	0.06	7.30545237349923e-42	Pi16	Up
5.65504804237497e-46	0.376967792818985	0.775	0.549	9.14704020854151e-42	Rpl5	NotSig
6.00253152026641e-46	0.603181738088787	0.46	0.276	9.70909473403091e-42	Ppp1r10	NotSig
7.3564367709624e-46	2.62482348991926	0.151	0.037	1.18990364770317e-41	Bcr	Up
9.10320621900467e-46	0.461646299695681	0.76	0.54	1.47244360592401e-41	LOC100362027	NotSig
9.39954271575002e-46	-0.180484815735841	1	0.997	1.52037603427257e-41	Mt-co2	NotSig
1.87808230815856e-45	1.40475978303279	0.169	0.048	3.03779813344647e-41	Fat1	Up
3.44920041408395e-45	1.12321902267178	0.248	0.104	5.57908166978078e-41	Oaf	Up
5.20591890973192e-45	0.70338711299259	0.32	0.157	8.42057383649139e-41	Med13l	NotSig
6.19860146984546e-45	0.426074627937546	0.741	0.526	1.0026237877475e-40	Rpl4	NotSig
1.1698361348283e-44	0.468881645123787	0.801	0.575	1.89220994808478e-40	AC141489.1	NotSig
2.94936451848158e-44	0.60416603996467	0.59	0.387	4.77059710864395e-40	LOC103693375	NotSig
3.46022229770619e-44	0.716788128152599	0.293	0.134	5.59690956653975e-40	Actn1	NotSig
7.66391633422092e-44	0.422098628798486	0.399	0.211	1.23963846706023e-39	Ebf1	NotSig
1.13645359575131e-43	1.27740572109711	0.208	0.077	1.83821369112775e-39	Crispld2	Up
3.68249034779018e-43	-3.04842763623384	0.015	0.085	5.95642813755061e-39	Cdh15	Down
6.07849819411933e-43	0.491657786379883	0.5	0.325	9.83197082898801e-39	Ctsb	NotSig
8.48416722662064e-43	2.83963378456566	0.1	0.011	1.37231404890589e-38	C2	Up
8.65681090055036e-43	0.936967365261975	0.244	0.104	1.40023916316402e-38	Sdc2	NotSig
9.15983916047783e-43	-2.53130994830002	0.033	0.118	1.48160398420729e-38	Ptprcap	Down
1.44135240132351e-42	1.65606362216038	0.264	0.119	2.33138750914078e-38	RGD1564664	Up
1.51889722238214e-42	-1.84847585668387	0.049	0.145	2.45681625720312e-38	LOC100911991	Down
1.52664032170038e-42	2.31682019533457	0.124	0.024	2.46934072035036e-38	Cyp1b1	Up
1.6801930065887e-42	1.62207443873732	0.14	0.033	2.71771218815722e-38	Sulf2	Up
4.19541491046163e-42	0.964869627906671	0.409	0.245	6.78608361767169e-38	AC134224.2	NotSig
4.55583418279417e-42	4.81080497286964	0.086	0.005	7.36906179066958e-38	Srpx2	Up
5.70680558544229e-42	1.34573220322245	0.311	0.159	9.2307580344529e-38	Igf1	Up
6.04234311733764e-42	1.2444845536953	0.189	0.064	9.77348999229363e-38	Sertad4	Up
7.37923679134267e-42	1.5195975243628	0.129	0.027	1.19359155099968e-37	Pcsk6	Up
7.52536173774169e-42	1.56673050289038	0.127	0.025	1.21722726107972e-37	Fst	Up
8.36954764914504e-42	-3.039313517619	0.01	0.072	1.35377433224921e-37	Dmrt2	Down
1.98003876523935e-41	1.69231771250237	0.14	0.034	3.20271270277464e-37	Abca1	Up
2.24435911473377e-41	3.04238402443328	0.097	0.011	3.63025086808188e-37	Mpzl2	Up
2.47308091536555e-41	1.64292120916137	0.23	0.099	4.00020838060378e-37	AC099453.1	Up
2.53532119754513e-41	1.02751059306278	0.259	0.118	4.10088203702925e-37	Bag3	Up
3.24664888004437e-41	0.561841723686434	0.433	0.252	5.25145456347177e-37	Bnip3	NotSig
3.66862211240968e-41	0.880525507341516	0.242	0.102	5.93399626682266e-37	Hoxb4	NotSig
3.69792707513699e-41	1.6930571668287	0.13	0.028	5.98139704403408e-37	Mmp23	Up
7.63007247616828e-41	0.896528472343027	0.278	0.132	1.23416422302022e-36	Mxra8	NotSig
1.62269162335443e-40	1.24697032463223	0.192	0.069	2.62470370077579e-36	Sulf1	Up
1.62821169416438e-40	0.436286943420992	0.859	0.706	2.63363241531089e-36	LOC100360057	NotSig
1.6398457221333e-40	0.828880891241872	0.256	0.112	2.65245045555061e-36	Pros1	NotSig
2.2517568355493e-40	0.358771252067801	0.865	0.688	3.64221668150099e-36	Rps3	NotSig
2.55857903051208e-40	3.02899996312499	0.1	0.014	4.13850158185329e-36	Osr1	Up
3.24549331448575e-40	1.09410966057914	0.206	0.08	5.2495854361807e-36	Gask1b	Up
5.30944423302129e-40	0.643518559048064	0.149	0.04	8.58802604691193e-36	Cpxm2	NotSig
1.19657435983324e-39	0.38981452021731	0.561	0.385	1.93545902703026e-35	Morf4l1	NotSig
1.5492129841632e-39	0.578776138772538	0.269	0.124	2.50585200188397e-35	Lhfpl6	NotSig
1.5710226452079e-39	1.62491622659956	0.231	0.102	2.54112912862379e-35	Icam1	Up
1.64991917700804e-39	0.357202463444617	0.823	0.61	2.66874426881051e-35	Rpl26	NotSig
1.88740252972509e-39	1.74968775664027	0.13	0.031	3.05287359183033e-35	Mitf	Up
2.04691083028729e-39	2.9250982026196	0.111	0.021	3.3108782679897e-35	Fhl2	Up
2.245176230265e-39	0.762397656273452	0.276	0.135	3.63157255245363e-35	Gsta1	NotSig
2.43005273800153e-39	0.395114869405921	0.707	0.543	3.93061030371748e-35	Nme2	NotSig
3.5979823627988e-39	-0.747885444041645	0.834	0.786	5.81973647182706e-35	Sparc	NotSig
5.0791873564528e-39	2.18830809681629	0.146	0.042	8.2155855490624e-35	AABR07015057.1	Up
5.30144934967371e-39	2.13994087363176	0.092	0.011	8.57509432309723e-35	Dusp26	Up
5.75018430557091e-39	0.504881937558502	0.339	0.175	9.30092311426095e-35	Snai1	NotSig
7.05348074353224e-39	1.10327150292124	0.284	0.145	1.14090051026634e-34	Abca8a	Up
7.14999749465774e-39	0.35183201061866	0.51	0.327	1.15651209476089e-34	Zmiz1	NotSig
8.8537617117813e-39	0.159555192562236	0.497	0.296	1.43209595688063e-34	Tsc22d1	NotSig
1.08778898899097e-38	2.20482744321851	0.111	0.021	1.7594986896929e-34	Fap	Up
1.11097430321069e-38	0.882596307255496	0.182	0.065	1.79700093544329e-34	Tgfbr2	NotSig
1.27887307078132e-38	0.626064159769663	0.544	0.362	2.06857719198879e-34	Cebpd	NotSig
1.42424858678063e-38	1.39865048222619	0.161	0.051	2.30372208911766e-34	Lrp6	Up
1.80486534389429e-38	0.409612784127562	0.853	0.67	2.91936969374902e-34	Rps24	NotSig
4.55499629944162e-38	0.57788893347252	0.22	0.088	7.36770651434683e-34	Foxc1	NotSig
4.7735074266878e-38	1.84134536556721	0.147	0.044	7.72114826266752e-34	AC128836.1	Up
6.82890430227391e-38	0.379249738917555	0.773	0.563	1.10457527089281e-33	Rpl21.3	NotSig
